,1A,1B,2A,2B,3A,3B,4A,4B,5A,5B,6A,6B,7A,7B,9A,9B,10A,10B
cg25556502,0.7633053,0.3336495,0.4490353,0.3440645,0.3362812,0.3783747,0.6263901,0.3888088,0.7319378,0.3957675,0.455918,0.2759224,0.3559509,0.3518929,0.5081501,0.2643997,0.6369707,0.3822915
cg14845268,0.8953804,0.5165786,0.644098,0.5591523,0.526699,0.5832575,0.8358002,0.5968418,0.8653536,0.5087719,0.7505752,0.503858,0.5419463,0.4152334,0.6740007,0.4332024,0.8365735,0.5946197
cg01362541,0.2623785,0.7068966,0.6322013,0.7704649,0.6676479,0.6547274,0.4161826,0.6295884,0.3580868,0.6532447,0.5583262,0.8015152,0.7076233,0.6760976,0.5091278,0.7423808,0.4348348,0.6965862
cg25667751,0.3261251,0.2844507,0.3247627,0.3671568,0.4129489,0.4271643,0.6561965,0.6427678,0.5543943,0.433908,0.4909847,0.5937904,0.1752092,0.1858006,0.6472564,0.5548439,0.3623011,0.3821286
cg19668500,0.3300527,0.750665,0.6174622,0.7634239,0.7269615,0.7212008,0.4822052,0.6419934,0.3099697,0.6411917,0.6217991,0.8079678,0.6759195,0.7203555,0.4739269,0.7165559,0.4351258,0.7237903
cg19425116,0.7589331,0.4228898,0.5202404,0.3610718,0.3685808,0.3889901,0.6553768,0.4881772,0.7231355,0.4146282,0.4650553,0.2724435,0.3467821,0.3699825,0.5054945,0.2596586,0.6978073,0.4140004
cg10575616,0.3018804,0.7095588,0.613476,0.6955987,0.7134204,0.7056009,0.4086657,0.6124727,0.3648387,0.6712608,0.6007817,0.786301,0.7391995,0.7274253,0.5121203,0.7774629,0.4364648,0.7472462
cg19052272,0.7647336,0.3648205,0.4208974,0.2809917,0.306038,0.3602235,0.555512,0.3803964,0.6617032,0.3699077,0.4839478,0.2980777,0.2643697,0.238602,0.447143,0.2667663,0.6306991,0.4000904
cg13146881,0.1160319,0.1008492,0.4140306,0.4118994,0.09585985,0.1016456,0.3777805,0.3716512,0.4255395,0.3996345,0.4132083,0.4001727,0.4027069,0.3738143,0.09988458,0.09812569,0.1300033,0.1126444
cg10214540,0.8433124,0.4556829,0.5046708,0.3855436,0.4027388,0.4209501,0.6395165,0.4581234,0.8007538,0.4421433,0.515878,0.3410629,0.4110544,0.4362224,0.5136941,0.3264326,0.7159153,0.4260674
cg05634534,0.8993013,0.9181619,0.7418381,0.724818,0.9169656,0.9190065,0.4490128,0.4521846,0.7236441,0.7144167,0.7521096,0.7354018,0.7422633,0.7465231,0.9211865,0.9328955,0.9054351,0.9179201
cg21910220,0.2784996,0.7747546,0.6747817,0.7574037,0.7709397,0.7302456,0.4490452,0.6580898,0.4359283,0.7087844,0.6699011,0.8071225,0.7672772,0.7678801,0.5248284,0.757333,0.5203012,0.7541421
cg16136774,0.8896524,0.5377678,0.6786248,0.4818182,0.5102041,0.5214815,0.7915421,0.6153592,0.8524317,0.5920555,0.6281277,0.3910256,0.4954128,0.59,0.6823735,0.3835103,0.8350388,0.6433
cg13683939,0.8849131,0.8863443,0.8698593,0.8773324,0.5638324,0.5391597,0.8640051,0.8998856,0.5264338,0.50334,0.8749891,0.894445,0.8857283,0.8807689,0.8682461,0.9031146,0.8835988,0.8832611
cg07792871,0.8320339,0.7957033,0.7949554,0.8224538,0.5344164,0.5315856,0.5240524,0.5199938,0.5289744,0.5281457,0.843052,0.8664223,0.8279056,0.828562,0.8353574,0.8818276,0.8246319,0.8600579
cg03104113,0.9103182,0.9085151,0.8988361,0.9096682,0.5559973,0.5843053,0.9186967,0.8732317,0.5432879,0.5388782,0.9079694,0.904194,0.9150785,0.9380247,0.8865233,0.8811102,0.9056253,0.9054923
cg25806875,0.1976262,0.6843879,0.5173883,0.5945998,0.6294297,0.607324,0.3356244,0.5075644,0.2333647,0.5476447,0.4934488,0.6568314,0.5950185,0.6612076,0.4511824,0.6430423,0.3483756,0.6459346
cg07291836,0.7929733,0.3897982,0.6002574,0.4811897,0.3811286,0.4035751,0.6413043,0.4978034,0.787649,0.4333636,0.6229961,0.348639,0.4367196,0.38813,0.5868714,0.3436067,0.7577825,0.5001581
cg01820107,0.8114328,0.3615947,0.4586012,0.3705284,0.3594902,0.3660928,0.6361961,0.4423264,0.7363982,0.3991473,0.4760107,0.3067412,0.3836468,0.3273208,0.4861874,0.2909693,0.6390344,0.4022692
cg06536806,0.6246317,0.2084106,0.336801,0.2140106,0.2844899,0.2993276,0.5524231,0.3612435,0.5900515,0.3120638,0.4341069,0.2050036,0.5291529,0.5527489,0.6097225,0.5112642,0.55672,0.3007255
cg17944344,0.04820168,0.04839165,0.3215902,0.333626,0.0542321,0.06005203,0.3386637,0.3514142,0.3738167,0.3261818,0.3398158,0.3551775,0.351354,0.3251827,0.04298919,0.02652747,0.06298594,0.05067064
cg26647549,0.1307647,0.6062359,0.4750116,0.5565717,0.5912849,0.5375494,0.3140054,0.5672178,0.189562,0.5394564,0.4960707,0.6517114,0.6036269,0.5161089,0.4286966,0.6271568,0.3267017,0.5639542
cg09552281,0.7369323,0.3404987,0.4562241,0.2551061,0.3265172,0.3880321,0.6037219,0.4311436,0.7087321,0.466613,0.4337867,0.2600711,0.3587467,0.4866071,0.5110952,0.2390772,0.6337772,0.3333333
cg08339744,0.8424835,0.4353785,0.5209203,0.4100406,0.4024131,0.4672973,0.6987997,0.5097163,0.7764563,0.4325179,0.5642655,0.3801049,0.3817514,0.4105626,0.5662758,0.3352514,0.7138737,0.4102611
cg02836821,0.8173105,0.8427208,0.5302906,0.5355344,0.8206458,0.8493172,0.540423,0.5327544,0.5851344,0.5413113,0.5359394,0.5581395,0.5460522,0.5418383,0.8177898,0.820765,0.8587938,0.8642796
cg08123882,0.3217424,0.7603898,0.6540072,0.7328387,0.7563187,0.7352387,0.452881,0.6792797,0.3601754,0.6657746,0.5885157,0.762122,0.7199691,0.7606267,0.5182809,0.7521388,0.4210129,0.7290191
cg06900776,0.06075261,0.08619572,0.3573016,0.3422111,0.06958989,0.08961047,0.3137747,0.316687,0.3650515,0.3624826,0.3953087,0.394264,0.3912146,0.3880013,0.06245047,0.06207849,0.07035427,0.07967535
cg08986840,0.7405439,0.3798109,0.415178,0.3298215,0.3711176,0.3712898,0.6350103,0.4764351,0.7240714,0.4368962,0.6015976,0.3515658,0.293124,0.2751829,0.555497,0.3979006,0.6984915,0.4305143
cg25410291,0.6339907,0.2481672,0.353622,0.2346581,0.1923486,0.2654455,0.5595168,0.3169029,0.5787872,0.2967126,0.4458406,0.1450352,0.2271393,0.2288341,0.3977954,0.1884709,0.5367263,0.2867872
cg20591120,0.3328796,0.6865248,0.6508572,0.7670103,0.7499208,0.7606592,0.4668312,0.6759133,0.3747326,0.6809573,0.5962373,0.7850176,0.7627957,0.7895243,0.5564765,0.7805765,0.416678,0.6995983
cg00164282,0.694086352,0.233848593,0.329257292,0.242884477,0.267897513,0.299740163,0.546594005,0.371081367,0.642665474,0.330409357,0.476455544,0.288609893,0.291426576,0.239526861,0.432011331,0.225112556,0.597366898,0.313732857
cg06464066,0.005014677,0.01353987,0.2743498,0.2814561,0.01217656,0.02544806,0.3064418,0.3314326,0.3106657,0.3591323,0.3079901,0.2923703,0.3271619,0.2414858,0.004506893,0.01677675,0.01909646,0.0116408
cg22550557,0.7407552,0.3456036,0.4207522,0.3081277,0.3610134,0.346662,0.5994926,0.3879734,0.6858348,0.3948528,0.4511039,0.2570992,0.3197943,0.330822,0.5014815,0.2505202,0.6741864,0.3498163
cg11204099,0.06851078,0.06126142,0.06956392,0.0521937,0.5197409,0.5137382,0.0706983,0.05227454,0.03906317,0.03743316,0.06226913,0.05043138,0.05493727,0.04334061,0.04435442,0.03382861,0.07026931,0.0511701
cg16930710,0.7533767,0.3411586,0.4895734,0.3683102,0.3023005,0.3582776,0.6115585,0.4040568,0.7376639,0.3856729,0.4413657,0.2984187,0.3449625,0.3285248,0.4881536,0.2601994,0.639206,0.3780777
cg06271532,0.2154788,0.6259898,0.6649348,0.7857813,0.5800525,0.5012516,0.6377166,0.6938807,0.5305,0.6054134,0.7077359,0.7912261,0.713361,0.7386091,0.4693076,0.7110622,0.3512873,0.6098266
cg00935394,0.07414272,0.08628624,0.3871775,0.3787424,0.03654485,0.0758678,0.3048169,0.3038042,0.3215903,0.3241766,0.3787164,0.4007657,0.386961,0.3303531,0.08590471,0.0469914,0.03389474,0.07572016
cg18899999,0.6671727,0.3171806,0.3977459,0.2772846,0.303175,0.2995856,0.6459994,0.4195436,0.66375,0.3987511,0.4458619,0.2498733,0.3037717,0.3081897,0.4437028,0.1915236,0.6252306,0.3537543
cg09826622,0.6307008,0.2519403,0.358577,0.2383643,0.2185721,0.227003,0.4719048,0.3129326,0.6588921,0.3125741,0.3877193,0.2039293,0.2391728,0.2129934,0.3986667,0.1920075,0.5824671,0.3049426
cg07621945,0.7957282,0.5230079,0.6764999,0.4955442,0.4490894,0.454932,0.757654,0.5220949,0.8460744,0.5655409,0.6477146,0.4054054,0.492427,0.5486726,0.684742,0.3236067,0.8180791,0.5393785
cg25277809,0.3226483,0.2619926,0.3077943,0.2946719,0.1285682,0.120854,0.1324913,0.1238861,0.5064191,0.4265692,0.07902023,0.08319185,0.06899225,0.1130782,0.4324463,0.4642557,0.1311037,0.104721
cg09124486,0.1311329,0.08075041,0.3854018,0.3683202,0.04623288,0.1036941,0.3535521,0.3105862,0.4218959,0.3510638,0.4842657,0.3984261,0.4489127,0.3552124,0.1015572,0.1408766,0.1146651,0.1318754
cg16822540,0.7891933,0.8667946,0.5300921,0.5251983,0.8448326,0.8133253,0.5292112,0.5361781,0.5603848,0.5394926,0.5765523,0.5577441,0.5719888,0.5295069,0.8402262,0.8535485,0.8389095,0.8438114
cg00187089,0.853812603,0.478217398,0.539110745,0.399753408,0.436742777,0.488903184,0.704786216,0.505056696,0.828568403,0.464959917,0.581944289,0.398207026,0.421932682,0.452044025,0.60425074,0.324564913,0.725529865,0.49506411
cg23271885,0.6876502,0.2887124,0.366697,0.2426316,0.2968139,0.3743753,0.6014109,0.3556393,0.6189812,0.3495441,0.4497773,0.2692156,0.2670325,0.5084459,0.4848485,0.224385,0.6726812,0.4023142
cg00429726,0.3553512,0.3699666,0.5904317,0.5947608,0.6036736,0.6074127,0.3700766,0.4149706,0.5702133,0.5683939,0.7787711,0.8007612,0.3930193,0.4079645,0.7670471,0.751545,0.5062828,0.5053352
cg10050379,0.7926309,0.8209571,0.744634,0.7596271,0.8476747,0.8694166,0.795107,0.8313765,0.7859883,0.8287867,0.8566913,0.8573277,0.8069717,0.7818887,0.7822749,0.8563452,0.3745174,0.3514739
cg04265672,0.8514166,0.4598427,0.5687456,0.4740436,0.4027928,0.3837679,0.7505088,0.5283702,0.8134466,0.5346579,0.5457393,0.4525244,0.426565,0.3643713,0.6095655,0.3530303,0.649808,0.4437433
cg19648835,0.09993041,0.3376015,0.445717,0.4334438,0.272737,0.2642821,0.3755089,0.4241515,0.4515752,0.4450155,0.4780935,0.4753384,0.453495,0.4112738,0.08544628,0.1931915,0.07533632,0.102465
cg06535290,0.710789,0.7106134,0.7262638,0.7156367,0.7133826,0.7292085,0.70081,0.7053501,0.3102586,0.2887131,0.506116,0.5244771,0.6958851,0.7375493,0.4717276,0.4777242,0.7263557,0.723297
cg25304867,0.8155981,0.4087093,0.5539958,0.4420128,0.3735478,0.406772,0.6839814,0.484667,0.79257,0.5302606,0.5927033,0.3797411,0.3876937,0.3990456,0.560729,0.3176615,0.7079955,0.4543841
cg10653357,0.476966,0.1552033,0.3434399,0.2142261,0.2146341,0.2394204,0.5626747,0.3606858,0.6754978,0.2860571,0.4459568,0.1873871,0.2228642,0.2718447,0.4344244,0.1940738,0.5135042,0.240019
cg03627980,0.7441803,0.4202784,0.4745763,0.3447234,0.3740148,0.4181979,0.7191011,0.4742812,0.7537272,0.4333413,0.5346646,0.3294347,0.3850765,0.4057971,0.4941327,0.2259182,0.6552821,0.4004226
cg22574818,0.245694,0.1952288,0.4897832,0.5338082,0.1921072,0.2442203,0.4972871,0.5007514,0.452823,0.4686864,0.4705882,0.4607211,0.4450909,0.48601,0.1733957,0.09441684,0.1995265,0.2222679
cg24624880,0.799944,0.3815727,0.5374652,0.46017,0.4472043,0.4919962,0.6383994,0.4496865,0.7313447,0.4151825,0.6272628,0.4654497,0.3763105,0.3870875,0.5041792,0.3124573,0.8241827,0.6337725
cg01629746,0.8579865,0.866326,0.8090787,0.8460639,0.8791087,0.8862968,0.8276146,0.8512006,0.8865989,0.8685276,0.5066232,0.5106762,0.4882094,0.5276135,0.8593311,0.8032861,0.8538871,0.8700337
cg14666386,0.8914492,0.9124088,0.4982102,0.5625742,0.8644517,0.9109759,0.8977292,0.8661122,0.8959341,0.8646768,0.9195829,0.9105002,0.9053637,0.9088596,0.8976518,0.8676244,0.5495779,0.577898
cg00291192,0.7924051,0.3893165,0.4837402,0.3636461,0.3344821,0.4069515,0.6707626,0.4426595,0.7227253,0.4468262,0.5412343,0.3230743,0.3562796,0.330491,0.5195736,0.3061603,0.6688603,0.3980135
cg06383339,0.8060155,0.4432957,0.4928775,0.3789402,0.3804321,0.4312676,0.6162205,0.4529477,0.7644928,0.404395,0.5073099,0.3126768,0.3876352,0.3878628,0.5466766,0.2883623,0.7214485,0.434671
cg18526121,0.8738145,0.8531253,0.8272834,0.8569716,0.548068,0.5535636,0.5630151,0.5600603,0.8432982,0.8672002,0.5544911,0.5837457,0.8435465,0.8068053,0.5301073,0.5492756,0.8290794,0.8650286
cg20186636,0.01909612,0.2245455,0.1351032,0.07499163,0.2637195,0.121089,0.05578152,0.0920904,0.1532977,0.01698302,0.4634146,0.08940545,0.1006211,0.08717222,0.04154476,0.5735736,0.07805109,0.2318584
cg15286521,0.05999373,0.05113636,0.3391404,0.3404887,0.0434128,0.05274613,0.3376493,0.3394316,0.3598041,0.3529742,0.359674,0.3563403,0.3239809,0.3170295,0.037268,0.04106174,0.06130323,0.05424978
cg15425276,0.5658672,0.5388949,0.8564638,0.8870453,0.84576,0.8664911,0.9199565,0.9125018,0.9008599,0.8791191,0.9124606,0.9482529,0.524424,0.5334071,0.7806061,0.818013,0.9014706,0.8813516
cg27286863,0.1816796,0.1643633,0.5244374,0.5445488,0.2175395,0.1926499,0.4840125,0.528989,0.5079643,0.5016047,0.5365666,0.5659999,0.5225653,0.4495924,0.2766351,0.3514594,0.2814902,0.2362406
cg26244164,0.3483066,0.7379913,0.6601224,0.798896,0.7903448,0.7871336,0.4757183,0.6702586,0.3266506,0.721329,0.6025611,0.7989761,0.6482,0.7224145,0.5883576,0.7648611,0.5003095,0.7667207
cg01000953,0.5032631,0.5016074,0.8325017,0.8377616,0.8811567,0.8537693,0.8029872,0.8379747,0.8318584,0.8300889,0.8360604,0.8607071,0.8617978,0.8734657,0.4853393,0.5013657,0.8498517,0.8545878
cg19825787,0.3392365,0.2694308,0.5910465,0.5938074,0.2699881,0.2921348,0.2944398,0.2973085,0.4503335,0.3804501,0.4277675,0.4312268,0.4120637,0.308148,0.05478694,0.06754111,0.5131152,0.498594
cg04051220,0.1644584,0.1710959,0.4758507,0.4962914,0.1900043,0.1834334,0.4496086,0.4488588,0.4576514,0.4294423,0.4704155,0.4773663,0.4514608,0.4224646,0.1455715,0.1329484,0.178819,0.1721871
cg04143870,0.8638642,0.8991341,0.557278,0.5668599,0.8958273,0.8677845,0.5976805,0.5602445,0.5943765,0.5995031,0.5811004,0.6141176,0.5642831,0.6122969,0.831074,0.8762119,0.8811637,0.8871469
cg22070232,0.6993999,0.2752705,0.3754816,0.2619214,0.2410642,0.3104979,0.5459487,0.3453365,0.6206781,0.3182234,0.3982781,0.2139375,0.2555194,0.2725295,0.4128106,0.1694208,0.5707459,0.290002
cg09669754,0.6378505,0.2227555,0.3097772,0.1614624,0.2139219,0.2430982,0.5128076,0.3096736,0.5393779,0.2769191,0.3513724,0.1801391,0.1842797,0.1507159,0.3664273,0.142252,0.4993139,0.2089486
cg25388715,0.3936209,0.8568057,0.7188226,0.8338765,0.8379436,0.7964786,0.5280012,0.7291959,0.4344689,0.7253509,0.6379265,0.8337984,0.8067981,0.8563115,0.6086697,0.8190955,0.5456384,0.8170242
cg11737053,0.7751611,0.3935185,0.5113319,0.375969,0.3685792,0.408506,0.6645746,0.4713212,0.7432506,0.4069019,0.6147964,0.298663,0.4059134,0.4457558,0.5504042,0.2992003,0.7037108,0.399321
cg05410536,0.3698132,0.7849779,0.7008406,0.7786613,0.7927083,0.8003681,0.5032017,0.7131971,0.3990801,0.6943692,0.6367889,0.8438754,0.7701465,0.7913373,0.5623596,0.7941057,0.4686655,0.7572531
cg00739787,0.0446162,0.05967012,0.334994,0.3310742,0.0478462,0.04311464,0.2686445,0.2709899,0.3682868,0.3471862,0.3332541,0.399454,0.3589237,0.3249264,0.03654996,0.0439104,0.04423656,0.04959665
cg18700886,0.2629369,0.6963064,0.6161518,0.727709,0.7417008,0.6785226,0.4527691,0.6219184,0.3407312,0.6213268,0.5759434,0.7912251,0.6992188,0.7064166,0.5215144,0.720391,0.42102,0.7296128
cg14517940,0.8257582,0.4718407,0.4884561,0.3986968,0.3910237,0.4509557,0.669905,0.4765011,0.786096,0.4778972,0.5456965,0.3499826,0.4147284,0.3974307,0.54859,0.355291,0.7808776,0.488041
cg09315465,0.8434137,0.4693385,0.6010627,0.4703363,0.4328473,0.5069231,0.7286644,0.5680693,0.8511757,0.4663342,0.5992077,0.3951158,0.4524094,0.5012407,0.5763136,0.3765107,0.814056,0.5227273
cg26475472,0.1230117,0.4949435,0.4545455,0.5586024,0.5540882,0.5542251,0.250294,0.4808111,0.2272409,0.5024048,0.5119787,0.6654128,0.5715224,0.5722166,0.347425,0.5983773,0.3011253,0.5739448
cg17858192,0.07096502,0.07589482,0.07208554,0.07403539,0.5421407,0.5244605,0.07497766,0.06817418,0.07146758,0.06072724,0.0721114,0.08262813,0.06831819,0.06434721,0.04930114,0.06752359,0.07910992,0.07090615
cg04499254,0.8191466,0.3980858,0.4987791,0.4116967,0.3946821,0.4311555,0.6307369,0.4506402,0.7958035,0.4480425,0.4811048,0.3011275,0.3950617,0.3637614,0.5702149,0.3831631,0.7022683,0.4075756
cg13690357,0.8223619,0.4515419,0.5646831,0.3943662,0.3791718,0.453192,0.7069577,0.4824903,0.7874837,0.4787025,0.5808031,0.3899273,0.4322724,0.4106852,0.5925329,0.3272214,0.7511808,0.5270921
cg16247826,0.7735554,0.8530306,0.8173121,0.8629979,0.8692545,0.8680308,0.5074535,0.5171151,0.7468828,0.8402676,0.5303607,0.567834,0.8711903,0.8696258,0.7909106,0.8607152,0.5151998,0.5806742
cg07492878,0.06734251,0.09717456,0.3770257,0.366216,0.08640749,0.08668911,0.3550261,0.3554322,0.4117578,0.3779259,0.358034,0.3841392,0.3531722,0.3656027,0.06460722,0.05655051,0.07442219,0.09826093
cg11540596,0.9135802,0.9069295,0.9003131,0.9119756,0.9164087,0.9124573,0.5748503,0.5409836,0.9237603,0.9055851,0.9118896,0.9303079,0.9249161,0.9072165,0.5856698,0.5631399,0.9439983,0.9058491
cg15036118,0.3461383,0.7614882,0.6532939,0.7889377,0.7718391,0.7352899,0.4922204,0.6717696,0.3738829,0.662118,0.6208955,0.8167939,0.7941915,0.7794687,0.5396209,0.7821515,0.4783941,0.7488538
cg27538957,0.7977475,0.3367037,0.4671924,0.4143126,0.3559394,0.4240845,0.6293974,0.4272114,0.8104371,0.4453608,0.4963736,0.393518,0.4053428,0.3820102,0.6021421,0.3193287,0.676183,0.436319
cg14607533,0.04191885,0.05835118,0.3467803,0.3394135,0.06855649,0.04020657,0.3314234,0.3374915,0.3531077,0.30033,0.3742059,0.3644943,0.3249211,0.3346457,0.04501452,0.02294079,0.06259476,0.05644078
cg13688186,0.5559779,0.5435505,0.8976414,0.8792853,0.5998539,0.6356192,0.8621262,0.8764181,0.9034005,0.8897491,0.8798792,0.8806438,0.9045475,0.8682773,0.615574,0.5617391,0.6070707,0.6448004
cg24834791,0.7396369,0.3497537,0.473677,0.3738413,0.3776184,0.4258142,0.5759162,0.4057348,0.7795237,0.4397999,0.5035758,0.2717561,0.3822314,0.4109226,0.4945276,0.2456779,0.7082842,0.4032707
cg24776078,0.801862,0.392317,0.4805564,0.3987124,0.3403896,0.4107708,0.6798549,0.454113,0.7372976,0.448662,0.5221587,0.3086113,0.3897267,0.3764554,0.5355118,0.3053904,0.6882119,0.4067151
cg23293583,0.8554564,0.8279696,0.5342923,0.5284902,0.8685592,0.8679266,0.5282896,0.5339339,0.6131611,0.5560386,0.5975345,0.590741,0.5831766,0.6309216,0.8774255,0.8513788,0.8514048,0.8573621
cg21858113,0.1818898,0.2779623,0.609901,0.5527344,0.4292829,0.4098491,0.2448174,0.2081218,0.450045,0.5048232,0.6790281,0.6302187,0.4395492,0.2915556,0.3473326,0.3408846,0.2481259,0.3411854
cg20641568,0.8408072,0.4456567,0.5304424,0.4022121,0.397612,0.4677997,0.6987403,0.5112416,0.7892422,0.4670642,0.5679827,0.3607236,0.4279387,0.4581946,0.5614546,0.3217918,0.7410796,0.4480818
cg27405400,0.6884252,0.2718831,0.3640836,0.2285657,0.2827489,0.3034553,0.5106784,0.3923345,0.6751174,0.3782458,0.4556669,0.2316746,0.3364734,0.2213467,0.510696,0.3030345,0.6169779,0.3315379
cg22833508,0.202445,0.6091449,0.5207707,0.5785963,0.6201201,0.5787087,0.2740932,0.4770234,0.2449926,0.4866573,0.5535016,0.6483009,0.6044125,0.612587,0.3403846,0.6324798,0.324961,0.6256243
cg17582637,0.6109346,0.184881,0.2703802,0.1863462,0.2219594,0.2437783,0.510824,0.3355245,0.5990638,0.2511712,0.393388,0.2123255,0.1966832,0.1953545,0.3995447,0.1847584,0.5333418,0.2404558
cg06706159,0.9297523,0.6577491,0.5522178,0.4728883,0.5465786,0.5959284,0.9156441,0.7949007,0.9123345,0.7258297,0.631777,0.5550636,0.6203721,0.5251525,0.7886908,0.6143664,0.8944021,0.7594158
cg22375320,0.8970404,0.8904402,0.9048845,0.8940453,0.5494865,0.5646442,0.8930453,0.885493,0.5463529,0.5218911,0.8767707,0.8994842,0.8910376,0.8952306,0.8965583,0.8986981,0.9115773,0.8983439
cg02577720,0.8300402,0.4353221,0.4840536,0.3293166,0.3362451,0.4182302,0.6610719,0.463643,0.704775,0.4549608,0.5570519,0.3112092,0.3914525,0.3870595,0.5033789,0.3068501,0.6706184,0.3886054
cg04548000,0.9215867,0.5519126,0.6394221,0.5125016,0.5119282,0.5539143,0.7863751,0.6006601,0.889101,0.5989476,0.6955998,0.4519774,0.5205584,0.5317962,0.6706685,0.3915863,0.8432156,0.5773667
cg24576518,0.8128842,0.4170176,0.5378825,0.3874126,0.3887857,0.4651163,0.6808211,0.4772283,0.7596008,0.4432528,0.5244458,0.3413613,0.4048921,0.3913372,0.5488118,0.3058612,0.735688,0.4393588
cg23687322,0.7708807,0.3718672,0.4531326,0.3333849,0.3126873,0.3755049,0.611577,0.3879168,0.7268849,0.3875694,0.4907641,0.2830872,0.3398715,0.3313242,0.5207985,0.313819,0.6425743,0.3581395
cg15356502,0.7013553,0.2548519,0.2506603,0.1583366,0.3218975,0.2509009,0.3368445,0.2639087,0.4574927,0.2389289,0.2701896,0.1952711,0.1959819,0.2075472,0.4355899,0.2193257,0.6332471,0.3083736
cg18971835,0.2848071,0.7063962,0.608002,0.7331155,0.787156,0.6976111,0.4849128,0.654109,0.2846031,0.5934248,0.5657131,0.7638864,0.6986742,0.7194795,0.5451964,0.7161845,0.4692127,0.7002906
cg12284382,0.1430746,0.5689076,0.4819738,0.6120046,0.5768047,0.5681635,0.3190299,0.5864823,0.2333102,0.5410193,0.5013327,0.7439958,0.5513776,0.5710287,0.4475265,0.6130817,0.3409874,0.5727003
cg02386310,0.01653313,0.01224878,0.2944046,0.3168175,0.02706665,0.0392318,0.2845448,0.3177335,0.3309821,0.2996418,0.3242887,0.3339914,0.3544399,0.2564244,0.01772351,0.02179554,0.01791009,0.0167264
cg23668581,0.3565891,0.7661017,0.7048573,0.794059,0.7456618,0.727549,0.5452165,0.7232305,0.3238767,0.6900996,0.647049,0.8026488,0.7718232,0.7959889,0.566653,0.7410205,0.4633385,0.7612666
cg14535569,0.8748771,0.501751,0.6063035,0.4780451,0.4824776,0.5448699,0.7558386,0.5818483,0.8671659,0.5222497,0.6583149,0.4018927,0.4912526,0.4852875,0.6501634,0.3943633,0.82221,0.556461
cg14562783,0.3596106,0.4381248,0.6460644,0.6353387,0.7223125,0.7230321,0.3572834,0.4059531,0.5767835,0.6491367,0.7344653,0.7905681,0.5413105,0.5441447,0.3481769,0.3529606,0.5077812,0.6757364
cg17700374,0.3369785,0.7414004,0.5998269,0.6878574,0.7122627,0.7236643,0.3824267,0.622051,0.3310741,0.6210894,0.6219548,0.7580416,0.6723855,0.7845827,0.4659038,0.73176,0.4327125,0.6958455
cg16729794,0.7460637,0.4312377,0.62325,0.4738155,0.4308571,0.462536,0.6966555,0.5092707,0.8147001,0.4634146,0.5921697,0.3605024,0.4319667,0.372093,0.597805,0.2802931,0.752356,0.4857935
cg05238782,0.8370834,0.440589,0.616999,0.4693454,0.4285544,0.4589904,0.7158294,0.5139944,0.8259236,0.5075409,0.5818217,0.379584,0.4534576,0.4304926,0.5983435,0.3369976,0.7493533,0.4730351
cg12752109,0.8154039,0.4450203,0.4982655,0.3773691,0.3653709,0.3960167,0.682911,0.4762968,0.7593399,0.4482988,0.5581925,0.3439726,0.4063753,0.3954698,0.4985226,0.2894133,0.6880709,0.4284153
cg05029779,0.8638035,0.4178903,0.5316333,0.3918017,0.3892216,0.4278389,0.6703168,0.4748226,0.7985124,0.4558983,0.5748253,0.3820602,0.4436901,0.435964,0.5829265,0.3722792,0.716303,0.4463599
cg04837284,0.8601485,0.5121413,0.5942982,0.4798785,0.4523112,0.4772829,0.7564655,0.5259274,0.8726883,0.5315171,0.6080907,0.438973,0.4822547,0.4372277,0.6476589,0.3682791,0.7787832,0.5750736
cg02639181,0.6060879,0.2816138,0.3217133,0.2017896,0.2346791,0.2413348,0.4656046,0.2795856,0.7050861,0.3844993,0.2377193,0.1773027,0.2203235,0.2077364,0.3554092,0.2230415,0.4869908,0.230484
cg18871648,0.1441468,0.5516014,0.4872652,0.6207324,0.5866166,0.5887507,0.3019158,0.4659856,0.1980749,0.4862622,0.427704,0.6489838,0.5338266,0.5422088,0.3606938,0.6036196,0.310601,0.6016202
cg25300435,0.7952964,0.3745473,0.3627604,0.3010119,0.2513113,0.3818369,0.4352107,0.327892,0.4677959,0.2972288,0.3898557,0.2596006,0.3210168,0.3068881,0.5059439,0.2552276,0.720393,0.3860759
cg15370982,0.8697388,0.4582745,0.481706,0.4103379,0.3468529,0.4306118,0.6872659,0.530021,0.7766214,0.4666442,0.5656541,0.3530448,0.4432856,0.3496002,0.5914639,0.4552512,0.6884121,0.4510813
cg04500192,0.7886729,0.3968995,0.480508,0.352862,0.3184963,0.344107,0.5962694,0.4194713,0.7144191,0.4013017,0.4362325,0.3078977,0.3449996,0.3139804,0.5159398,0.2713983,0.645193,0.367671
cg05518448,0.8783437,0.5087204,0.586294,0.458133,0.4223301,0.4880077,0.7126768,0.548323,0.8696216,0.5869873,0.6599809,0.5232619,0.4458352,0.4496555,0.6212759,0.3775967,0.7971923,0.5313078
cg14765731,0.198634,0.6347049,0.523209,0.6397599,0.6382178,0.6203626,0.3495332,0.5681818,0.2657669,0.5406694,0.5130839,0.7156303,0.61346,0.6332631,0.4452608,0.6913559,0.3826777,0.6647666
cg16843165,0.9062106,0.4875583,0.6107563,0.5055987,0.4357849,0.4956921,0.7704435,0.5430667,0.8521486,0.5282217,0.6221481,0.4822313,0.4777136,0.5038837,0.617007,0.375676,0.7965672,0.5476704
